Starting new run: Wed Jul 05 14:41:42 2023

source;p1x;p1y;p1r;p2x;p2y;p2r;p3x;p3y;p3r;p4x;p4y;p4r;p5x;p5y;p5r;
mask;56;108;6;106;106;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;110;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;54;108;5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;106;106;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;106;106;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;54;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
contrasted;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
mask;56;108;6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wed Jul 05 14:41:52 2023
